original_text,cleaned_text,case_folding,tokenized_text,normalized_text,stopword_removed,token_to_text,no_topic,label_aspek,sentimen,,,,Jumlah,Positif,Negatif,
"Acara webinar ini sudah berjalan dengan lancar dan lebih baik dari sebelumnya		",Acara webinar ini sudah berjalan dengan lancar dan lebih baik dari sebelumnya,acara webinar ini sudah berjalan dengan lancar dan lebih baik dari sebelumnya,"['acara', 'webinar', 'ini', 'sudah', 'berjalan', 'dengan', 'lancar', 'dan', 'lebih', 'baik', 'dari', 'sebelumnya']","['acara', 'seminar', 'ini', 'sudah', 'terlaksana', 'dengan', 'sukses', 'dan', 'lebih', 'baik', 'dari', 'sebelum']","['acara', 'seminar', 'terlaksana', 'sukses', 'baik']",acara seminar terlaksana sukses baik,1,Kesuksesan Acara,Positif,,,,,,,
"Materi sangat bermanfaat		",Materi sangat bermanfaat,materi sangat bermanfaat,"['materi', 'sangat', 'bermanfaat']","['materi', 'sangat', 'bermanfaat']","['materi', 'bermanfaat']",materi bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"acaranya bermanfaat		",acaranya bermanfaat,acaranya bermanfaat,"['acaranya', 'bermanfaat']","['acara', 'bermanfaat']","['acara', 'bermanfaat']",acara bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
tidak bisa masuk zoomnya full,tidak bisa masuk zoomnya full,tidak bisa masuk zoomnya full,"['tidak', 'bisa', 'masuk', 'zoomnya', 'full']","['tidak', 'bisa', 'masuk', 'zoom', 'penuh']","['masuk', 'zoom', 'penuh']",masuk zoom penuh,5,Teknis dan Jaringan,Negatif,,,,,,,
Tidak ada sudah baik hanya saja zoom tidak muat tapi tidak apa apa bisa lewat yt,Tidak ada sudah baik hanya saja zoom tidak muat tapi tidak apa apa bisa lewat yt,tidak ada sudah baik hanya saja zoom tidak muat tapi tidak apa apa bisa lewat yt,"['tidak', 'ada', 'sudah', 'baik', 'hanya', 'saja', 'zoom', 'tidak', 'muat', 'tapi', 'tidak', 'apa', 'apa', 'bisa', 'lewat', 'yt']","['tidak', 'ada', 'sudah', 'baik', 'hanya', 'saja', 'zoom', 'tidak', 'muat', 'tetapi', 'tidak', 'apa', 'apa', 'bisa', 'lewat', 'youtube']","['baik', 'zoom', 'muat', 'apa', 'apa', 'lewat', 'youtube']",baik zoom muat apa apa lewat youtube,5,Teknis dan Jaringan,Positif,,,,,,,
"Interaksi terhadap pendengar lebih banyak lagi		",Interaksi terhadap pendengar lebih banyak lagi,interaksi terhadap pendengar lebih banyak lagi,"['interaksi', 'terhadap', 'pendengar', 'lebih', 'banyak', 'lagi']","['interaksi', 'terhadap', 'peserta', 'lebih', 'banyak', 'lagi']","['interaksi', 'peserta', 'banyak']",interaksi peserta banyak,4,Antusiasme Peserta,Negatif,,,,,,,
"cukup baik, mudah2an utk acara kedepannya lebih baik lgi		",cukup baik mudahan utk acara kedepannya lebih baik lgi,cukup baik mudahan utk acara kedepannya lebih baik lgi,"['cukup', 'baik', 'mudahan', 'utk', 'acara', 'kedepannya', 'lebih', 'baik', 'lgi']","['cukup', 'baik', 'semoga', 'untuk', 'acara', 'ke depannya', 'lebih', 'baik', 'lagi']","['cukup', 'baik', 'semoga', 'acara', 'ke depannya', 'baik']",cukup baik semoga acara ke depannya baik,3,Harapan Acara,Positif,,,,,,,
"Masih banyak peserta yang hanya menyalahkan vbg tanpa wajah mereka, apalagi pematerinya.		",Masih banyak peserta yang hanya menyalahkan vbg tanpa wajah mereka apalagi pematerinya,masih banyak peserta yang hanya menyalahkan vbg tanpa wajah mereka apalagi pematerinya,"['masih', 'banyak', 'peserta', 'yang', 'hanya', 'menyalahkan', 'vbg', 'tanpa', 'wajah', 'mereka', 'apalagi', 'pematerinya']","['masih', 'banyak', 'peserta', 'yang', 'hanya', 'salah', 'vbg', 'tanpa', 'wajah', 'mereka', 'apalagi', 'narasumber']","['banyak', 'peserta', 'salah', 'vbg', 'wajah', 'narasumber']",banyak peserta salah vbg wajah narasumber,2,Materi dan Narasumber,Negatif,,,,,,,
"Lebih sedikit tepat waktu saja sesuatu dengan jadwal.		",Lebih sedikit tepat waktu saja sesuatu dengan jadwal,lebih sedikit tepat waktu saja sesuatu dengan jadwal,"['lebih', 'sedikit', 'tepat', 'waktu', 'saja', 'sesuatu', 'dengan', 'jadwal']","['lebih', 'sedikit', 'tepat', 'waktu', 'saja', 'sesuatu', 'dengan', 'jadwal']","['sedikit', 'tepat', 'waktu', 'jadwal']",sedikit tepat waktu jadwal,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"pemaparan materinya sudah cukup jelas		",pemaparan materinya sudah cukup jelas,pemaparan materinya sudah cukup jelas,"['pemaparan', 'materinya', 'sudah', 'cukup', 'jelas']","['pemaparan', 'materi', 'sudah', 'cukup', 'jelas']","['pemaparan', 'materi', 'cukup', 'jelas']",pemaparan materi cukup jelas,2,Materi dan Narasumber,Positif,,,,,,,
"mungkin diadakan games agar lebih seru tidak monoton		",mungkin diadakan games agar lebih seru tidak monoton,mungkin diadakan games agar lebih seru tidak monoton,"['mungkin', 'diadakan', 'games', 'agar', 'lebih', 'seru', 'tidak', 'monoton']","['mungkin', 'mengadakan', 'permainan', 'agar', 'lebih', 'seru', 'tidak', 'membosankan']","['mungkin', 'mengadakan', 'permainan', 'seru', 'membosankan']",mungkin mengadakan permainan seru membosankan,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Tambah slot kuota pada zoom		",Tambah slot kuota pada zoom,tambah slot kuota pada zoom,"['tambah', 'slot', 'kuota', 'pada', 'zoom']","['tambah', 'slot', 'kuota', 'pada', 'zoom']","['tambah', 'slot', 'kuota', 'zoom']",tambah slot kuota zoom,5,Teknis dan Jaringan,Negatif,,,,,,,
"Webinar yang bermanfaat		",Webinar yang bermanfaat,webinar yang bermanfaat,"['webinar', 'yang', 'bermanfaat']","['seminar', 'yang', 'bermanfaat']","['seminar', 'bermanfaat']",seminar bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Materi yang disampaikan sangat memberi wawasan yang cukup bagi peserta		",Materi yang disampaikan sangat memberi wawasan yang cukup bagi peserta,materi yang disampaikan sangat memberi wawasan yang cukup bagi peserta,"['materi', 'yang', 'disampaikan', 'sangat', 'memberi', 'wawasan', 'yang', 'cukup', 'bagi', 'peserta']","['materi', 'yang', 'disampaikan', 'sangat', 'memberi', 'pengalaman', 'yang', 'cukup', 'bagi', 'peserta']","['materi', 'disampaikan', 'memberi', 'pengalaman', 'cukup', 'peserta']",materi disampaikan memberi pengalaman cukup peserta,2,Materi dan Narasumber,Positif,,,,,,,
"kedepannya waktu kegiatan di letakkan di pagi hari		",kedepannya waktu kegiatan di letakkan di pagi hari,kedepannya waktu kegiatan di letakkan di pagi hari,"['kedepannya', 'waktu', 'kegiatan', 'di', 'letakkan', 'di', 'pagi', 'hari']","['ke depannya', 'waktu', 'acara', 'di', 'letakkan', 'di', 'waktu', 'hari']","['ke depannya', 'waktu', 'acara', 'letakkan', 'waktu', 'hari']",ke depannya waktu acara letakkan waktu hari,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"Seru bgt acaranya terimakasih kak abang		",Seru bgt acaranya terimakasih kak abang,seru bgt acaranya terimakasih kak abang,"['seru', 'bgt', 'acaranya', 'terimakasih', 'kak', 'abang']","['seru', 'banget', 'acara', 'terima kasih', 'kakak', 'kakak']","['seru', 'banget', 'acara', 'terima kasih', 'kakak', 'kakak']",seru banget acara terima kasih kakak kakak,2,Materi dan Narasumber,Positif,,,,,,,
"tidak ada kritik dan saran karena sangat bermanfaat bagi generasi Z		",tidak ada kritik dan saran karena sangat bermanfaat bagi generasi Z,tidak ada kritik dan saran karena sangat bermanfaat bagi generasi z,"['tidak', 'ada', 'kritik', 'dan', 'saran', 'karena', 'sangat', 'bermanfaat', 'bagi', 'generasi', 'z']","['tidak', 'ada', 'kritik', 'dan', 'usulan', 'karena', 'sangat', 'bermanfaat', 'bagi', 'generasi', 'z']","['kritik', 'usulan', 'bermanfaat', 'generasi', 'z']",kritik usulan bermanfaat generasi z,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Saran : Semoga kegiatan ini diadakan tiap tahun untuk maba		",Saran Semoga kegiatan ini diadakan tiap tahun untuk maba,saran semoga kegiatan ini diadakan tiap tahun untuk maba,"['saran', 'semoga', 'kegiatan', 'ini', 'diadakan', 'tiap', 'tahun', 'untuk', 'maba']","['usulan', 'semoga', 'acara', 'ini', 'mengadakan', 'setiap', 'waktu', 'untuk', 'mahasiswa']","['usulan', 'semoga', 'acara', 'mengadakan', 'waktu', 'mahasiswa']",usulan semoga acara mengadakan waktu mahasiswa,6,Waktu dan Pelaksanaan Acara,Positif,,,,,,,
"Semoga kedepannya bisa mengikuti lebih sempurna dari sebelumnya		",Semoga kedepannya bisa mengikuti lebih sempurna dari sebelumnya,semoga kedepannya bisa mengikuti lebih sempurna dari sebelumnya,"['semoga', 'kedepannya', 'bisa', 'mengikuti', 'lebih', 'sempurna', 'dari', 'sebelumnya']","['semoga', 'ke depannya', 'bisa', 'ikut', 'lebih', 'sempurna', 'dari', 'sebelum']","['semoga', 'ke depannya', 'ikut', 'sempurna']",semoga ke depannya ikut sempurna,3,Harapan Acara,Negatif,,,,,,,
"narasumber dan MC sudah menjalankan tugasnya dengan baik.		",narasumber dan MC sudah menjalankan tugasnya dengan baik,narasumber dan mc sudah menjalankan tugasnya dengan baik,"['narasumber', 'dan', 'mc', 'sudah', 'menjalankan', 'tugasnya', 'dengan', 'baik']","['narasumber', 'dan', 'mc', 'sudah', 'menjalankan', 'tugas', 'dengan', 'baik']","['narasumber', 'mc', 'menjalankan', 'tugas', 'baik']",narasumber mc menjalankan tugas baik,2,Materi dan Narasumber,Positif,,,,,,,
"semoga ke depannya acaranya lebih disiplin		",semoga ke depannya acaranya lebih disiplin,semoga ke depannya acaranya lebih disiplin,"['semoga', 'ke', 'depannya', 'acaranya', 'lebih', 'disiplin']","['semoga', 'ke', 'depan', 'acara', 'lebih', 'disiplin']","['semoga', 'depan', 'acara', 'disiplin']",semoga depan acara disiplin,3,Harapan Acara,Negatif,,,,,,,
"acara terlaksana dengan baik		",acara terlaksana dengan baik,acara terlaksana dengan baik,"['acara', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"Webinar sudah baik.		",Webinar sudah baik,webinar sudah baik,"['webinar', 'sudah', 'baik']","['seminar', 'sudah', 'baik']","['seminar', 'baik']",seminar baik,1,Kesuksesan Acara,Positif,,,,,,,
"Acara sudah berjalan dengan baik.		",Acara sudah berjalan dengan baik,acara sudah berjalan dengan baik,"['acara', 'sudah', 'berjalan', 'dengan', 'baik']","['acara', 'sudah', 'terlaksana', 'dengan', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"kedepannya semoga kegiatan webinar fkbmik ini bisa dibuat sedikit lebih santai, mengingat kegiatan diadakan siang hari jadi kurang bersemangat dan mengantuk		",kedepannya semoga kegiatan webinar fkbmik ini bisa dibuat sedikit lebih santai mengingat kegiatan diadakan siang hari jadi kurang bersemangat dan mengantuk,kedepannya semoga kegiatan webinar fkbmik ini bisa dibuat sedikit lebih santai mengingat kegiatan diadakan siang hari jadi kurang bersemangat dan mengantuk,"['kedepannya', 'semoga', 'kegiatan', 'webinar', 'fkbmik', 'ini', 'bisa', 'dibuat', 'sedikit', 'lebih', 'santai', 'mengingat', 'kegiatan', 'diadakan', 'siang', 'hari', 'jadi', 'kurang', 'bersemangat', 'dan', 'mengantuk']","['ke depannya', 'semoga', 'acara', 'seminar', 'fkbmik', 'ini', 'bisa', 'dibuat', 'sedikit', 'lebih', 'santai', 'mengingat', 'acara', 'mengadakan', 'waktu', 'hari', 'jadi', 'kurang', 'semangat', 'dan', 'mengantuk']","['ke depannya', 'semoga', 'acara', 'seminar', 'fkbmik', 'dibuat', 'sedikit', 'santai', 'mengingat', 'acara', 'mengadakan', 'waktu', 'hari', 'semangat', 'mengantuk']",ke depannya semoga acara seminar fkbmik dibuat sedikit santai mengingat acara mengadakan waktu hari semangat mengantuk,4,Antusiasme Peserta,Negatif,,,,,,,
"Kegiatan sudah berjalan dengan lancar dan baik		",Kegiatan sudah berjalan dengan lancar dan baik,kegiatan sudah berjalan dengan lancar dan baik,"['kegiatan', 'sudah', 'berjalan', 'dengan', 'lancar', 'dan', 'baik']","['acara', 'sudah', 'terlaksana', 'dengan', 'sukses', 'dan', 'baik']","['acara', 'terlaksana', 'sukses', 'baik']",acara terlaksana sukses baik,1,Kesuksesan Acara,Positif,,,,,,,
"Mungkin bisa mengadakan acara pada pagi hari saja, sehingga peserta masih bersemangat		",Mungkin bisa mengadakan acara pada pagi hari saja sehingga peserta masih bersemangat,mungkin bisa mengadakan acara pada pagi hari saja sehingga peserta masih bersemangat,"['mungkin', 'bisa', 'mengadakan', 'acara', 'pada', 'pagi', 'hari', 'saja', 'sehingga', 'peserta', 'masih', 'bersemangat']","['mungkin', 'bisa', 'mengadakan', 'acara', 'pada', 'waktu', 'hari', 'saja', 'sehingga', 'peserta', 'masih', 'semangat']","['mungkin', 'mengadakan', 'acara', 'waktu', 'hari', 'peserta', 'semangat']",mungkin mengadakan acara waktu hari peserta semangat,4,Antusiasme Peserta,Positif,,,,,,,
"Informasi yang didapatkan sangat mudah diserap		",Informasi yang didapatkan sangat mudah diserap,informasi yang didapatkan sangat mudah diserap,"['informasi', 'yang', 'didapatkan', 'sangat', 'mudah', 'diserap']","['penyampaian', 'yang', 'dapat', 'sangat', 'mudah', 'serap']","['penyampaian', 'mudah', 'serap']",penyampaian mudah serap,2,Materi dan Narasumber,Positif,,,,,,,
"Acaranya mungkin bisa lebih cepat lagi dimulainya karena yang beda jam jadi sulit untuk menyesuaikan jadwalnya.		",Acaranya mungkin bisa lebih cepat lagi dimulainya karena yang beda jam jadi sulit untuk menyesuaikan jadwalnya,acaranya mungkin bisa lebih cepat lagi dimulainya karena yang beda jam jadi sulit untuk menyesuaikan jadwalnya,"['acaranya', 'mungkin', 'bisa', 'lebih', 'cepat', 'lagi', 'dimulainya', 'karena', 'yang', 'beda', 'jam', 'jadi', 'sulit', 'untuk', 'menyesuaikan', 'jadwalnya']","['acara', 'mungkin', 'bisa', 'lebih', 'cepat', 'lagi', 'mulai', 'karena', 'yang', 'inovatif', 'waktu', 'jadi', 'sulit', 'untuk', 'menyesuaikan', 'jadwal']","['acara', 'mungkin', 'cepat', 'mulai', 'inovatif', 'waktu', 'sulit', 'menyesuaikan', 'jadwal']",acara mungkin cepat mulai inovatif waktu sulit menyesuaikan jadwal,6,Waktu dan Pelaksanaan Acara,Negatif,,,,,,,
"MC nya saja masih terlihat sedikit gugup.		",MC nya saja masih terlihat sedikit gugup,mc nya saja masih terlihat sedikit gugup,"['mc', 'nya', 'saja', 'masih', 'terlihat', 'sedikit', 'gugup']","['mc', 'nya', 'saja', 'masih', 'terlihat', 'sedikit', 'gugup']","['mc', 'terlihat', 'sedikit', 'gugup']",mc terlihat sedikit gugup,2,Materi dan Narasumber,Negatif,,,,,,,
"terkadang audio putus putus		",terkadang audio putus putus,terkadang audio putus putus,"['terkadang', 'audio', 'putus', 'putus']","['terkadang', 'audio', 'gangguan', 'gangguan']","['terkadang', 'audio', 'gangguan', 'gangguan']",terkadang audio gangguan gangguan,5,Teknis dan Jaringan,Negatif,,,,,,,
"Kegiatan sudah cukup baik		",Kegiatan sudah cukup baik,kegiatan sudah cukup baik,"['kegiatan', 'sudah', 'cukup', 'baik']","['acara', 'sudah', 'cukup', 'baik']","['acara', 'cukup', 'baik']",acara cukup baik,1,Kesuksesan Acara,Positif,,,,,,,
"Kritik : mungkin dari segi audio, agak di stabilkan		",Kritik mungkin dari segi audio agak di stabilkan,kritik mungkin dari segi audio agak di stabilkan,"['kritik', 'mungkin', 'dari', 'segi', 'audio', 'agak', 'di', 'stabilkan']","['kritik', 'mungkin', 'dari', 'segi', 'audio', 'agak', 'di', 'stabil']","['kritik', 'mungkin', 'segi', 'audio', 'stabil']",kritik mungkin segi audio stabil,5,Teknis dan Jaringan,Negatif,,,,,,,
"Saran : Semoga kedepanya acaranya makin baik		",Saran Semoga kedepanya acaranya makin baik,saran semoga kedepanya acaranya makin baik,"['saran', 'semoga', 'kedepanya', 'acaranya', 'makin', 'baik']","['usulan', 'semoga', 'ke depannya', 'acara', 'semakin', 'baik']","['usulan', 'semoga', 'ke depannya', 'acara', 'semakin', 'baik']",usulan semoga ke depannya acara semakin baik,3,Harapan Acara,Positif,,,,,,,
"micnya kurang jelas		",micnya kurang jelas,micnya kurang jelas,"['micnya', 'kurang', 'jelas']","['mikrofon', 'kurang', 'jelas']","['mikrofon', 'jelas']",mikrofon jelas,5,Teknis dan Jaringan,Negatif,,,,,,,
"tidak ada, sudah sangat berjalan dengan baik dan menarik		",tidak ada sudah sangat berjalan dengan baik dan menarik,tidak ada sudah sangat berjalan dengan baik dan menarik,"['tidak', 'ada', 'sudah', 'sangat', 'berjalan', 'dengan', 'baik', 'dan', 'menarik']","['tidak', 'ada', 'sudah', 'sangat', 'terlaksana', 'dengan', 'baik', 'dan', 'seru']","['terlaksana', 'baik', 'seru']",terlaksana baik seru,1,Kesuksesan Acara,Positif,,,,,,,
"Sangat bermanfaat bagi mahasiswa baru seperti saya		",Sangat bermanfaat bagi mahasiswa baru seperti saya,sangat bermanfaat bagi mahasiswa baru seperti saya,"['sangat', 'bermanfaat', 'bagi', 'mahasiswa', 'baru', 'seperti', 'saya']","['sangat', 'bermanfaat', 'bagi', 'mahasiswa', 'inovatif', 'seperti', 'saya']","['bermanfaat', 'mahasiswa', 'inovatif']",bermanfaat mahasiswa inovatif,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Menambahkan pemateri lagi ya		",Menambahkan pemateri lagi ya,menambahkan pemateri lagi ya,"['menambahkan', 'pemateri', 'lagi', 'ya']","['tambah', 'narasumber', 'lagi', 'ya']","['tambah', 'narasumber']",tambah narasumber,2,Materi dan Narasumber,Positif,,,,,,,
"Acara berjalan lancar dan tepat waktu		",Acara berjalan lancar dan tepat waktu,acara berjalan lancar dan tepat waktu,"['acara', 'berjalan', 'lancar', 'dan', 'tepat', 'waktu']","['acara', 'terlaksana', 'sukses', 'dan', 'tepat', 'waktu']","['acara', 'terlaksana', 'sukses', 'tepat', 'waktu']",acara terlaksana sukses tepat waktu,1,Kesuksesan Acara,Positif,,,,,,,
"Acara berjalan dgn sangat baik		",Acara berjalan dgn sangat baik,acara berjalan dgn sangat baik,"['acara', 'berjalan', 'dgn', 'sangat', 'baik']","['acara', 'terlaksana', 'dengan', 'sangat', 'baik']","['acara', 'terlaksana', 'baik']",acara terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"kegiatan sangat bermanfaat		",kegiatan sangat bermanfaat,kegiatan sangat bermanfaat,"['kegiatan', 'sangat', 'bermanfaat']","['acara', 'sangat', 'bermanfaat']","['acara', 'bermanfaat']",acara bermanfaat,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Terus mengadakan event gabungan seperti ini.		",Terus mengadakan event gabungan seperti ini,terus mengadakan event gabungan seperti ini,"['terus', 'mengadakan', 'event', 'gabungan', 'seperti', 'ini']","['terus', 'mengadakan', 'acara', 'kolaborasi', 'seperti', 'ini']","['terus', 'mengadakan', 'acara', 'kolaborasi']",terus mengadakan acara kolaborasi,7,Manfaat dan Evaluasi,Positif,,,,,,,
"Materi yang diberikan juga bagus dan informatif terutama bagi para kaum generasi Z.		",Materi yang diberikan juga bagus dan informatif terutama bagi para kaum generasi Z,materi yang diberikan juga bagus dan informatif terutama bagi para kaum generasi z,"['materi', 'yang', 'diberikan', 'juga', 'bagus', 'dan', 'informatif', 'terutama', 'bagi', 'para', 'kaum', 'generasi', 'z']","['materi', 'yang', 'diberikan', 'juga', 'keren', 'dan', 'informatif', 'terutama', 'bagi', 'para', 'kaum', 'generasi', 'z']","['materi', 'diberikan', 'keren', 'informatif', 'terutama', 'kaum', 'generasi', 'z']",materi diberikan keren informatif terutama kaum generasi z,2,Materi dan Narasumber,Positif,,,,,,,
"Webinar ini sangat menarik.		",Webinar ini sangat menarik,webinar ini sangat menarik,"['webinar', 'ini', 'sangat', 'menarik']","['seminar', 'ini', 'sangat', 'seru']","['seminar', 'seru']",seminar seru,7,Manfaat dan Evaluasi,Positif,,,,,,,
"kegiatan webinar sudah berjalan dengan baik		",kegiatan webinar sudah berjalan dengan baik,kegiatan webinar sudah berjalan dengan baik,"['kegiatan', 'webinar', 'sudah', 'berjalan', 'dengan', 'baik']","['acara', 'seminar', 'sudah', 'terlaksana', 'dengan', 'baik']","['acara', 'seminar', 'terlaksana', 'baik']",acara seminar terlaksana baik,1,Kesuksesan Acara,Positif,,,,,,,
"acara berjalan dengan baik dan lancar		",acara berjalan dengan baik dan lancar,acara berjalan dengan baik dan lancar,"['acara', 'berjalan', 'dengan', 'baik', 'dan', 'lancar']","['acara', 'terlaksana', 'dengan', 'baik', 'dan', 'sukses']","['acara', 'terlaksana', 'baik', 'sukses']",acara terlaksana baik sukses,1,Kesuksesan Acara,Positif,,,,,,,
"ilmu yang disampaikan sangat bermanfaat		",ilmu yang disampaikan sangat bermanfaat,ilmu yang disampaikan sangat bermanfaat,"['ilmu', 'yang', 'disampaikan', 'sangat', 'bermanfaat']","['pengalaman', 'yang', 'disampaikan', 'sangat', 'bermanfaat']","['pengalaman', 'disampaikan', 'bermanfaat']",pengalaman disampaikan bermanfaat,2,Materi dan Narasumber,Positif,,,,,,,
"KEREN BANGET ACARANYA		",KEREN BANGET ACARANYA,keren banget acaranya,"['keren', 'banget', 'acaranya']","['keren', 'sekali', 'acara']","['keren', 'sekali', 'acara']",keren sekali acara,4,Antusiasme dan Keterlibatan Peserta,Positif,,,,,,,
"Berjalan dengan baik acaranya		",Berjalan dengan baik acaranya,berjalan dengan baik acaranya,"['berjalan', 'dengan', 'baik', 'acaranya']","['terlaksana', 'dengan', 'baik', 'acara']","['terlaksana', 'baik', 'acara']",terlaksana baik acara,1,Kesuksesan Acara,Positif,,,,,,,
"acara sudah sangat bagus dan menarik		",acara sudah sangat bagus dan menarik,acara sudah sangat bagus dan menarik,"['acara', 'sudah', 'sangat', 'bagus', 'dan', 'menarik']","['acara', 'sudah', 'sangat', 'keren', 'dan', 'seru']","['acara', 'keren', 'seru']",acara keren seru,1,Kesuksesan Acara,Positif,,,,,,,
"Semoga dengan adanya fkbmik dapat menambah pengetahuan dan relasi		",Semoga dengan adanya fkbmik dapat menambah pengetahuan dan relasi,semoga dengan adanya fkbmik dapat menambah pengetahuan dan relasi,"['semoga', 'dengan', 'adanya', 'fkbmik', 'dapat', 'menambah', 'pengetahuan', 'dan', 'relasi']","['semoga', 'dengan', 'ada', 'fkbmik', 'dapat', 'tambah', 'pengetahuan', 'dan', 'relasi']","['semoga', 'fkbmik', 'tambah', 'pengetahuan', 'relasi']",semoga fkbmik tambah pengetahuan relasi,3,Harapan Acara,Positif,,,,,,,
